INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION
2000,05/31/2019 12:49:01 PM,,MAX,Y,B,M,34,DE,N,Y,125.25,Y
20204665,05/31/2019 02:01:11 PM,,MIN,Y,B,M,45,DE,N,N,110-125.25,Y
20068292,05/31/2019 08:31:52 PM,,MED,Y,B,M,59,DE,N,N,130.53,Y
161226,06/02/2019 07:51:11 PM,,MED,Y,B,M,34,DE,N,N,125.27,Y
145551,06/02/2019 08:01:48 PM,,MED,N,B,M,42,DE,N,N,110-125.27,Y
20017402,06/03/2019 09:23:41 PM,,MIN,Y,B,M,42,DE,N,N,110-125.25,N
20103843,06/04/2019 12:03:04 AM,,MAX,Y,B,M,32,DE,N,N,130.35,Y
20086843,06/05/2019 01:58:42 AM,,MAX,Y,B,M,26,DE,N,Y,110-130.35,Y
19245,06/08/2019 01:13:51 AM,,MED,Y,B,M,37,DE,N,N,160.15,N
20186916,06/11/2019 02:58:37 PM,,MAX,Y,O,M,28,DE,N,N,140.30,Y
20164373,06/11/2019 04:58:00 PM,,MAX,Y,B,M,24,DE,N,Y,125.25,Y
20204997,06/13/2019 02:50:39 PM,,MAX,Y,B,M,20,DE,N,N,125.25,Y
20205006,06/13/2019 07:00:00 PM,,MED,N,O,M,47,DE,N,N,130.75,N
20205016,06/14/2019 12:38:00 AM,,MAX,Y,W,M,41,DE,N,N,130.35,Y
20205048,06/15/2019 11:02:00 AM,,MAX,Y,B,M,21,DE,N,Y,125.25,Y
20096399,06/15/2019 03:54:30 PM,,MAX,Y,B,M,25,DEP,N,N,130.95,Y
3407,06/15/2019 08:18:00 PM,,MED,Y,B,M,39,DE,N,Y,230.33,Y
20161530,06/18/2019 12:04:28 AM,,MAX,Y,O,M,22,DE,N,Y,105.15,Y
20205109,06/18/2019 01:34:21 AM,,MAX,Y,W,M,26,DE,N,N,125.25,Y
64918,06/18/2019 09:27:27 PM,,MED,N,B,M,37,DE,N,Y,125.25,N
20205165,06/20/2019 07:16:38 PM,,MED,N,O,M,62,DE,N,N,125.25,N
20205217,06/23/2019 12:50:57 AM,,MIN,N,B,M,36,DE,N,N,220.77,Y
20199676,06/23/2019 01:22:57 AM,,MED,Y,W,M,64,DE,N,N,110-125.25,Y
20205227,06/23/2019 12:29:08 PM,,MAX,Y,O,M,20,DE,N,N,125.25,Y
20036616,06/24/2019 01:23:02 PM,,MAX,Y,B,M,40,SSR,N,Y,,Y
20019166,06/24/2019 11:43:01 PM,,MAX,Y,O,M,28,DE,N,Y,125.25,Y
20205260,06/25/2019 10:45:01 AM,,MED,Y,B,M,29,DE,N,N,125.25,Y
20205268,06/25/2019 05:45:25 PM,,MED,Y,O,M,58,DPV,N,N,,N
20205276,06/25/2019 09:45:43 PM,,MED,Y,O,M,32,DE,N,N,130.96,N
20205297,06/26/2019 01:54:25 PM,,MED,N,B,M,25,DE,N,N,125.25,Y
82638,06/26/2019 04:43:40 PM,,MAX,N,O,M,35,DE,N,N,110-125.25,Y
146366,06/28/2019 01:52:59 PM,,MED,Y,O,M,52,DE,N,N,130.80,Y
20164174,06/28/2019 04:01:49 PM,,MAX,Y,B,M,21,SSR,N,Y,,Y
20205351,06/29/2019 12:36:28 AM,,MED,N,O,M,30,DE,N,N,110-125.25,Y
20007374,06/29/2019 12:47:13 AM,,MED,Y,W,M,69,DE,N,N,130.53,Y
20186723,06/29/2019 11:42:12 AM,,MAX,Y,O,M,25,DE,N,Y,125.25,Y
20172487,07/02/2019 04:08:00 PM,,MAX,Y,B,M,26,DE,N,Y,110-125.25,Y
20155733,07/02/2019 07:53:29 PM,,MAX,Y,B,M,24,SSR,N,Y,,Y
20089491,07/02/2019 08:05:21 PM,,MED,Y,O,M,47,DE,N,N,125.20,Y
25646,07/03/2019 12:37:40 AM,,MED,N,B,M,38,DE,N,N,125.25,Y
20095659,07/03/2019 09:27:17 PM,,MAX,N,B,M,28,DE,N,N,125.25,Y
20155727,07/04/2019 12:04:04 AM,,MAX,N,B,M,24,DE,N,Y,125.25,Y
20205457,07/04/2019 01:06:56 PM,,MED,Y,O,M,42,DE,N,N,125.25,Y
20136378,07/04/2019 06:11:49 PM,,MAX,Y,O,M,25,DE,N,N,125.25,Y
20205480,07/05/2019 10:56:00 AM,,MED,Y,O,M,43,DE,N,N,125.25,Y
20201938,07/05/2019 03:25:00 PM,,MAX,Y,B,M,26,DE,N,N,110-125.25,Y
20205493,07/05/2019 11:29:07 PM,,MED,Y,B,M,44,DE,N,N,135.25,Y
20205500,07/06/2019 01:36:52 AM,,MIN,N,W,M,46,DE,N,N,150.15,N
20023305,07/06/2019 08:31:00 PM,,MED,N,B,M,29,DE,N,N,160.15,Y
10010088,07/06/2019 09:34:40 PM,,MAX,Y,B,M,32,DE,N,Y,125.25,Y
20140934,07/08/2019 12:58:12 AM,,MAX,Y,O,M,25,DE,N,N,265.04,Y
20163566,07/08/2019 01:17:06 PM,,MIN,Y,O,M,50,DE,N,N,110-125.25,N
106772,07/08/2019 04:50:23 PM,,MIN,N,B,M,52,DE,N,N,220.21,Y
20081514,07/10/2019 12:03:07 AM,,MAX,N,O,M,27,DE,N,Y,265.09,Y
20205586,07/10/2019 01:27:00 PM,,MAX,Y,B,F,23,DE,N,N,125.20,Y
20205597,07/10/2019 06:13:50 PM,,MAX,Y,B,M,20,DE,N,N,125.25,Y
20022853,07/10/2019 08:16:24 PM,,MAX,N,W,M,34,DE,N,N,265.03,Y
20176270,07/10/2019 10:25:38 PM,,MED,Y,W,M,54,DE,N,N,125.25,Y
20205610,07/11/2019 12:01:00 AM,,MED,Y,B,M,38,DE,N,N,125.25,Y
20198024,07/11/2019 12:39:49 AM,,MAX,Y,B,M,21,DE,N,Y,265.03,Y
20132516,07/11/2019 12:57:28 AM,,MAX,N,B,M,26,DE,N,Y,125.25,Y
20121937,07/12/2019 01:02:56 AM,,MAX,Y,B,M,25,DE,N,N,125.25,Y
102009,07/12/2019 10:27:29 PM,,MED,N,O,M,42,SSR,N,N,110-160.10,Y
20205669,07/13/2019 12:55:05 AM,,MIN,Y,B,M,49,SSR,N,N,,Y
20205680,07/13/2019 10:32:00 PM,,MED,N,O,M,49,DE,N,N,125.25,N
167125,07/15/2019 04:52:00 PM,,MED,Y,B,M,38,DE,N,N,125.25,Y
10006109,07/15/2019 09:04:00 PM,,MAX,Y,B,M,30,DE,N,N,160.15,Y
20124505,07/17/2019 02:08:06 AM,,MAX,Y,O,M,29,SSR,N,N,,Y
20195167,07/17/2019 12:48:00 PM,,MAX,N,B,M,26,DE,N,Y,110-125.25,Y
20148749,07/17/2019 01:14:13 PM,,MAX,N,B,M,25,DE,N,Y,125.25,Y
20014463,07/18/2019 05:30:00 PM,,MAX,Y,B,M,30,DE,N,Y,125.25,Y
20205796,07/18/2019 08:09:38 PM,,MAX,Y,B,M,20,DE,N,Y,110-125.25,Y
44061,07/18/2019 08:40:10 PM,,MAX,Y,B,M,47,SSR,N,N,,Y
20205819,07/19/2019 07:39:50 PM,,MAX,Y,B,M,22,DE,N,Y,125.25,Y
5942,07/20/2019 12:42:42 AM,,MED,Y,O,M,47,DEP,N,N,130.45,N
20449,07/22/2019 03:32:14 PM,,MAX,Y,B,M,34,DE,N,Y,110-125.25,Y
20205958,07/25/2019 04:31:34 PM,,MED,Y,B,M,27,DE,N,N,125.25,Y
20205966,07/25/2019 07:10:58 PM,,MIN,Y,B,M,60,DE,N,N,265.03,Y
20173617,07/26/2019 12:14:04 AM,,MAX,Y,O,M,29,DE,N,Y,125.25,Y
20124049,07/26/2019 07:57:00 PM,,MAX,N,B,M,26,DE,N,Y,125.25,Y
20206000,07/26/2019 09:43:19 PM,,MED,N,B,M,35,DE,N,N,130.96,N
158735,07/26/2019 10:22:49 PM,,MED,Y,O,M,46,DE,N,N,160.15,Y
23214,07/28/2019 01:48:40 AM,,MAX,Y,B,M,34,DE,N,Y,125.25,Y
20107187,07/30/2019 12:10:25 PM,,MAX,N,O,M,28,DE,N,Y,125.25,Y
20206112,07/31/2019 11:37:41 PM,,MED,Y,B,M,22,DE,N,N,125.20,N
20206116,08/01/2019 02:16:06 AM,,MED,Y,B,M,27,DE,N,N,110-130.50,Y
126614,08/01/2019 09:18:37 PM,,MED,N,B,M,40,DE,N,N,125.25,N
96570,08/02/2019 12:18:00 AM,,MAX,Y,B,M,34,DEP,N,Y,125.14,Y
20111443,08/02/2019 01:52:08 AM,,MAX,N,O,M,47,DE,N,N,125.25,Y
20204629,08/03/2019 01:18:34 AM,,MAX,N,W,M,27,DE,N,N,110-125.25,Y
32780,08/03/2019 12:56:51 PM,,MED,Y,B,M,42,DE,N,N,120.10,Y
